title,address,content,url,image,create date,update date,start day,end day,open time,close time,category id
스테이씨 윤 생일 카페: 하이럽,서울특별시 마포구 독막로7길 42 2층 하이럽,"사랑하는 자윤이의 20번째 생일을 맞아
생일카페 이벤트를 진행합니다♥
˚₊‧♡ 𝑯𝒂𝒑𝒑𝒚 𝒀𝑶𝑶𝑵 𝑫𝒂𝒚 ⁎ ˚ 𓂂𓏸

ღ 카페 하이럽
ღ 2023.04.15-04.16

#아기호랑이의_스무번째_생일

자세한 사항은 공지 이미지를 참고해주세요.
#Yoon #윤 #심자윤
https://t.co/72b3iYzFwz",https://twitter.com/carmex0414/status/1635643616063524865,,,,2023-04-15,2023-04-16,11:00:00,20:00:00,2
에스파 카리나 생일 카페: 민티베리,서울특별시 성동구 성수일로3길 3-16 민티베리,"ɪɴᴠɪᴛᴀᴛɪᴏɴ💌

⋆ ˚｡⋆୨୧˚𝗠𝘆'𝘀 𝗳𝗮𝘃𝗼𝗿𝗶𝘁𝗲 𝗴𝗶𝗿𝗹˚୨୧⋆｡˚ ⋆

마이들의 사랑 카리나♥️
지민이의 생일을 기념하여
아래 일정으로 생일카페 이벤트를 진행합니다
 
✔23.04.09~04.11
📍서울, 성수 민티베리

 ✔23.04.14~04.15
📍Tokyo, cafe yolum

#My_favorite_girl_karina
https://t.co/ME92XrzEpe",https://twitter.com/babyblueyu0411/status/1635279588652908544,,,,2023-04-09,2023-04-11,12:00:00,20:00:00,2
에스파 카리나 생일 카페: 망원바이브,서울특별시 마포구 희우정로 70 지층 1호,"ᴋᴀʀɪɴᴀ ʙɪʀᴛʜᴅᴀʏ ᴄᴀғᴇ &amp; ᴘᴜʙ ᴇᴠᴇɴᴛ
      °⋆₊ ᴄᴏᴍᴇ ᴛᴏ ᴍʏ ᴋᴀʀɪɴᴀ ₊⋆°

2023 카리나 생일 카페 &amp; 펍 이벤트🍸

💙𝟮𝟬𝟮𝟯. 𝟰.𝟴 - 𝟰.𝟭𝟭
💙𝓜𝓪𝓷𝓰𝔀𝓸𝓷 𝓥𝓲𝓫𝓮

#2023_HAPPY_KARINA_DAY
#혹시_내_생일파티_올_생각있냐
https://t.co/JlmDpqBxvF",https://twitter.com/KARINADAY411/status/1636612546441654273,,,,2023-04-08,2023-04-11,12:00:00,17:30:00,2
에스파 카리나 전시회: RNL 로즈앤라임 갤러리,서울특별시 중구 다산로 138 B1,"𝟐𝟎𝟐𝟑 𝐤𝐚𝐫𝐢𝐧𝐚 𝐞𝐱𝐡𝐢𝐛𝐢𝐭𝐢𝐨𝐧
𝘧𝘳𝘰𝘮 𝘫𝘶𝘴𝘵
-
𝐦𝐲 𝐤𝐢𝐭𝐭𝐲
𝐑𝐄𝐂𝐈𝐏𝐄

sunday, april 9, 2023
RNL Gallery
-
03.05 20:00 - 03.13 23:59
🎫https://t.co/akWyKKjdS0
https://t.co/16wOzhJXX4",https://twitter.com/mykittyrecipe/status/1632305389902651393,,,,2023-04-09,2023-04-09,10:00:00,18:00:00,1
뉴진스 다니엘 생일 카페: 카페 투스프링,서울특별시 성동구 왕십리로4길 26-14 1층,"너가 있어 비로소, 

-
暖春 ; 난춘
-

사랑하는 다니엘의 십대 마지막 생일을 기념하여 
카페 이벤트를 진행합니다.

• 카페 투스프링
• こぐまかぺ
• 23.04.09 - 23.04.11

#우리에게_다가온_봄
#youre_my_miracle
https://t.co/Sg1zrjjDSN",https://twitter.com/MIRACLE_MJH/status/1634207764191797248,,,,2023-04-09,2023-04-11,12:00:00,17:00:00,2
엔믹스 지우 생일 카페: 카페 비비드,서울특별시 마포구 독막로3길 28-18 1층,"📝📚 𝐓𝐡𝐞 𝐅𝐨𝐫𝐦𝐮𝐥𝐚 𝐨𝐟 𝐋𝐨𝐯𝐞 💙💚

-

𝐁𝐢𝐫𝐭𝐡𝐝𝐚𝐲 𝐂𝐚𝐟𝐞 𝐄𝐯𝐞𝐧𝐭 𝐟𝐨𝐫 𝐍𝐌𝐈𝐗𝐗 𝐉𝐈𝐖𝐎𝐎

📍 카페 비비드
🗓️ 4.13 - 4.16

-

#쮸야_생일쮸카해
#진짜_쮸생일은_지금부터

#지우 #JIWOO #엔믹스 #NMIXX
https://t.co/Qho8hq8DRx",https://twitter.com/413Lovable/status/1634090122709979138,,,,2023-04-13,2023-04-16,12:00:00,20:00:00,2
엔믹스 지우 생일 이벤트: 홍대네컷 홍대2호점,서울특별시 마포구 홍익로3길 25,"˚₊· 𝘏𝘈𝘗𝘗𝘠 𝘑𝘐𝘞𝘖𝘖 𝘋𝘈𝘠 ˚₊·

사랑하는 지우의 19번째 생일을 맞이하여
포토 프레임 이벤트를 진행합니다🍀

ෆ 홍대네컷 홍대 2호점 
ෆ 4/13 ~ 4/15

#지우네컷 #엔믹스 #NMIXX #지우 #JIWOO
https://t.co/po3QUzcris",https://twitter.com/05baby_413/status/1634797725987516417,,,,2023-04-13,2023-04-15,10:00:00,23:59:00,2
엔믹스 지우 생일 이벤트: 포토레이블 남포점,부산광역시 중구 남포길 9 1층,"˚₊· 𝘏𝘈𝘗𝘗𝘠 𝘑𝘐𝘞𝘖𝘖 𝘋𝘈𝘠 ˚₊·

사랑하는 지우의 19번째 생일을 맞이하여 부산에서 포토 프레임 이벤트를 진행합니다🍀

ෆ 포토레이블 남포점 
ෆ 4/13 ~ 4/16

#지우네컷 #엔믹스 #NMIXX #지우 #JIWOO
https://t.co/oTOhB8ZyTc",https://twitter.com/05baby_413/status/1635931275172413441,,,,2023-04-13,2023-04-16,00:00:00,23:59:00,2
엔하이픈 정원 생일 이벤트: 플로블랑 신용산,서울특별시 용산구 한강대로 95 래미안용산더센트럴 B동 지하2층 246호,"◡̈ 정원이의 스무돌잔치에 초대합니다!

♥︎ 2023.02.09 오전 11시-오후 7시
♥︎ 플로블랑 신용산점

자세한 사항은 이미지를 참고해주세요:)

#양정원돌잔치 #제가스무살이래여의
https://t.co/fBWhLnBVRq",https://twitter.com/yangjungwon_20/status/1601443852178817026,,,,2023-02-09,2023-02-09,11:00:00,19:00:00,2
엔하이픈 정원 생일 이벤트: 루츠앤플라워,서울특별시 용산구 서빙고로 17 용산센트럴파크해링턴스퀘어 1층 135호,"♡ ˟*๐˚𝑳𝑶𝑽𝑬 𝑯𝑨𝑷𝑷𝒀 𝑭𝑨𝑰𝑻𝑯 ˚๐*˟ ♡

정원이의 스무 번째 생일을 기념하여
플라워샵 이벤트를 진행합니다 ♡⁼³₌₃

♡‧₊˚ 용산 루츠앤플라워
♡‧₊˚ 𝟮𝟬𝟮𝟯.𝟬𝟮.𝟬𝟵

#우리의_사랑행복믿음_정원
#ENHYPEN #JUNGWON
https://t.co/4YYSXLesy9",https://twitter.com/uremygarden/status/1606662267680206849,,,,2023-02-09,2023-02-09,10:30:00,17:30:00,2
